txn_id,entity,department,project_code,category,currency,amount,status,date
TX9004,Initech,marketing,ENG-API,travel,GBP,420.00,approved,2026-04-02
TX1128,Globex,research,RES-LABS,hardware,AUD,4765.51,approved,2026-02-20
TX1129,Acme,engineering,ENG-DATA,services,USD,4802.64,approved,2026-03-21
TX1130,Initech,marketing,MKT-PERF,supplies,EUR,4839.77,approved,2026-04-22
TX1131,Umbra,operations,OPS-WARE,travel,GBP,76.9,approved,2026-05-23
TX1132,Cardinal,research,RES-LABS,software,AUD,114.03,pending,2026-06-24
TX1133,Northwind,engineering,ENG-API,hardware,USD,151.16,rejected,2026-01-25
TX1134,Globex,marketing,MKT-PERF,services,EUR,188.29,approved,2026-02-26
TX1135,Acme,operations,OPS-WARE,supplies,GBP,225.42,approved,2026-03-27
TX1136,Initech,research,RES-LABS,travel,AUD,262.55,approved,2026-04-01
TX1137,Umbra,engineering,ENG-WEB,software,USD,299.68,approved,2026-05-02
TX1138,Cardinal,marketing,MKT-PERF,hardware,EUR,336.81,approved,2026-06-03
TX1139,Northwind,operations,OPS-WARE,services,GBP,373.94,pending,2026-01-04
TX1140,Globex,research,RES-LABS,supplies,AUD,411.07,rejected,2026-02-05
TX1141,Acme,engineering,ENG-DATA,travel,USD,448.2,approved,2026-03-06
TX1142,Initech,marketing,MKT-PERF,software,EUR,485.33,approved,2026-04-07
TX1143,Umbra,operations,OPS-WARE,hardware,GBP,522.46,approved,2026-05-08
TX1144,Cardinal,research,RES-LABS,services,AUD,559.59,approved,2026-06-09
TX1145,Northwind,engineering,ENG-API,supplies,USD,596.72,approved,2026-01-10
TX1146,Globex,marketing,MKT-PERF,travel,EUR,633.85,pending,2026-02-11
TX1147,Acme,operations,OPS-WARE,software,GBP,670.98,rejected,2026-03-12
TX1148,Initech,research,RES-LABS,hardware,AUD,708.11,approved,2026-04-13
TX1149,Umbra,engineering,ENG-WEB,services,USD,745.24,approved,2026-05-14
TX1150,Cardinal,marketing,MKT-PERF,supplies,EUR,782.37,approved,2026-06-15
TX1151,Northwind,operations,OPS-WARE,travel,GBP,819.5,approved,2026-01-16
TX1152,Globex,research,RES-LABS,software,AUD,856.63,approved,2026-02-17
TX1153,Acme,engineering,ENG-DATA,hardware,USD,893.76,pending,2026-03-18
TX1154,Initech,marketing,MKT-PERF,services,EUR,930.89,rejected,2026-04-19
TX1155,Umbra,operations,OPS-WARE,supplies,GBP,968.02,approved,2026-05-20
TX1156,Cardinal,research,RES-LABS,travel,AUD,1005.15,approved,2026-06-21
TX1157,Northwind,engineering,ENG-API,software,USD,1042.28,approved,2026-01-22
TX1158,Globex,marketing,MKT-PERF,hardware,EUR,1079.41,approved,2026-02-23
TX1159,Acme,operations,OPS-WARE,services,GBP,1116.54,approved,2026-03-24
TX1160,Initech,research,RES-LABS,supplies,AUD,1153.67,pending,2026-04-25
TX1161,Umbra,engineering,ENG-WEB,travel,USD,1190.8,rejected,2026-05-26
TX1162,Cardinal,marketing,MKT-PERF,software,EUR,1227.93,approved,2026-06-27
TX1163,Northwind,operations,OPS-WARE,hardware,GBP,1265.06,approved,2026-01-01
TX1164,Globex,research,RES-LABS,services,AUD,1302.19,approved,2026-02-02
TX1165,Acme,engineering,ENG-DATA,supplies,USD,1339.32,approved,2026-03-03
TX1166,Initech,marketing,MKT-PERF,travel,EUR,1376.45,approved,2026-04-04
TX1167,Umbra,operations,OPS-WARE,software,GBP,1413.58,pending,2026-05-05
TX9005,,research,RES-CORE,supplies,USD,75.00,approved,2026-05-06
TX1168,Cardinal,research,RES-LABS,hardware,AUD,1450.71,rejected,2026-06-06
TX1169,Northwind,engineering,ENG-API,services,USD,1487.84,approved,2026-01-07
TX1170,Globex,marketing,MKT-PERF,supplies,EUR,1524.97,approved,2026-02-08
TX1171,Acme,operations,OPS-WARE,travel,GBP,1562.1,approved,2026-03-09
TX1172,Initech,research,RES-LABS,software,AUD,1599.23,approved,2026-04-10
TX1173,Umbra,engineering,ENG-WEB,hardware,USD,1636.36,approved,2026-05-11
TX1174,Cardinal,marketing,MKT-PERF,services,EUR,1673.49,pending,2026-06-12
TX1175,Northwind,operations,OPS-WARE,supplies,GBP,1710.62,rejected,2026-01-13
TX1176,Globex,research,RES-LABS,travel,AUD,1747.75,approved,2026-02-14
TX1177,Acme,engineering,ENG-DATA,software,USD,1784.88,approved,2026-03-15
TX1178,Initech,marketing,MKT-PERF,hardware,EUR,1822.01,approved,2026-04-16
TX1179,Umbra,operations,OPS-WARE,services,GBP,1859.14,approved,2026-05-17
TX1180,Cardinal,research,RES-LABS,supplies,AUD,1896.27,approved,2026-06-18
TX1181,Northwind,engineering,ENG-API,travel,USD,1933.4,pending,2026-01-19
TX1182,Globex,marketing,MKT-PERF,software,EUR,1970.53,rejected,2026-02-20
TX1183,Acme,operations,OPS-WARE,hardware,GBP,2007.66,approved,2026-03-21
TX1184,Initech,research,RES-LABS,services,AUD,2044.79,approved,2026-04-22
TX1185,Umbra,engineering,ENG-WEB,supplies,USD,2081.92,approved,2026-05-23
TX1186,Cardinal,marketing,MKT-PERF,travel,EUR,2119.05,approved,2026-06-24
TX1187,Northwind,operations,OPS-WARE,software,GBP,2156.18,approved,2026-01-25
TX1188,Globex,research,RES-LABS,hardware,AUD,2193.31,pending,2026-02-26
TX1189,Acme,engineering,ENG-DATA,services,USD,2230.44,rejected,2026-03-27
TX1190,Initech,marketing,MKT-PERF,supplies,EUR,2267.57,approved,2026-04-01
TX1191,Umbra,operations,OPS-WARE,travel,GBP,2304.7,approved,2026-05-02
TX1192,Cardinal,research,RES-LABS,software,AUD,2341.83,approved,2026-06-03
TX1193,Northwind,engineering,ENG-API,hardware,USD,2378.96,approved,2026-01-04
TX1194,Globex,marketing,MKT-PERF,services,EUR,2416.09,approved,2026-02-05
TX1195,Acme,operations,OPS-WARE,supplies,GBP,2453.22,pending,2026-03-06
TX1196,Initech,research,RES-LABS,travel,AUD,2490.35,rejected,2026-04-07
TX1197,Umbra,engineering,ENG-WEB,software,USD,2527.48,approved,2026-05-08
TX1198,Cardinal,marketing,MKT-PERF,hardware,EUR,2564.61,approved,2026-06-09
TX1199,Northwind,operations,OPS-WARE,services,GBP,2601.74,approved,2026-01-10
TX1200,Globex,research,RES-LABS,supplies,AUD,2638.87,approved,2026-02-11
TX9006,Umbra,engineering,ENG-WEB,software,AUD,199.00,APPROVED?,2026-03-30
TX1201,Acme,engineering,ENG-DATA,travel,USD,2676.0,approved,2026-03-12
TX1202,Initech,marketing,MKT-PERF,software,EUR,2713.13,pending,2026-04-13
TX1203,Umbra,operations,OPS-WARE,hardware,GBP,2750.26,rejected,2026-05-14
TX1204,Cardinal,research,RES-LABS,services,AUD,2787.39,approved,2026-06-15
TX1205,Northwind,engineering,ENG-API,supplies,USD,2824.52,approved,2026-01-16
TX1206,Globex,marketing,MKT-PERF,travel,EUR,2861.65,approved,2026-02-17
TX1207,Acme,operations,OPS-WARE,software,GBP,2898.78,approved,2026-03-18
TX1208,Initech,research,RES-LABS,hardware,AUD,2935.91,approved,2026-04-19
TX1209,Umbra,engineering,ENG-WEB,services,USD,2973.04,pending,2026-05-20
TX1210,Cardinal,marketing,MKT-PERF,supplies,EUR,3010.17,rejected,2026-06-21
TX1211,Northwind,operations,OPS-WARE,travel,GBP,3047.3,approved,2026-01-22
TX1212,Globex,research,RES-LABS,software,AUD,3084.43,approved,2026-02-23
TX1213,Acme,engineering,ENG-DATA,hardware,USD,3121.56,approved,2026-03-24
TX1214,Initech,marketing,MKT-PERF,services,EUR,3158.69,approved,2026-04-25
TX1215,Umbra,operations,OPS-WARE,supplies,GBP,3195.82,approved,2026-05-26
TX1216,Cardinal,research,RES-LABS,travel,AUD,3232.95,pending,2026-06-27
TX1217,Northwind,engineering,ENG-API,software,USD,3270.08,rejected,2026-01-01
TX1218,Globex,marketing,MKT-PERF,hardware,EUR,3307.21,approved,2026-02-02
TX1219,Acme,operations,OPS-WARE,services,GBP,3344.34,approved,2026-03-03
TX1220,Initech,research,RES-LABS,supplies,AUD,3381.47,approved,2026-04-04
TX1221,Umbra,engineering,ENG-WEB,travel,USD,3418.6,approved,2026-05-05
TX1222,Cardinal,marketing,MKT-PERF,software,EUR,3455.73,approved,2026-06-06
TX1223,Northwind,operations,OPS-WARE,hardware,GBP,3492.86,pending,2026-01-07
TX1224,Globex,research,RES-LABS,services,AUD,3529.99,rejected,2026-02-08
TX1225,Acme,engineering,ENG-DATA,supplies,USD,3567.12,approved,2026-03-09
TX1226,Initech,marketing,MKT-PERF,travel,EUR,3604.25,approved,2026-04-10
TX1227,Umbra,operations,OPS-WARE,software,GBP,3641.38,approved,2026-05-11
TX1228,Cardinal,research,RES-LABS,hardware,AUD,3678.51,approved,2026-06-12
TX1229,Northwind,engineering,ENG-API,services,USD,3715.64,approved,2026-01-13
TX1230,Globex,marketing,MKT-PERF,supplies,EUR,3752.77,pending,2026-02-14
TX1231,Acme,operations,OPS-WARE,travel,GBP,3789.9,rejected,2026-03-15
TX1232,Initech,research,RES-LABS,software,AUD,3827.03,approved,2026-04-16
TX1233,Umbra,engineering,ENG-WEB,hardware,USD,3864.16,approved,2026-05-17
TX1234,Cardinal,marketing,MKT-PERF,services,EUR,3901.29,approved,2026-06-18
TX1235,Northwind,operations,OPS-WARE,supplies,GBP,3938.42,approved,2026-01-19
TX1236,Globex,research,RES-LABS,travel,AUD,3975.55,approved,2026-02-20
TX1237,Acme,engineering,ENG-DATA,software,USD,4012.68,pending,2026-03-21
TX1238,Initech,marketing,MKT-PERF,hardware,EUR,4049.81,rejected,2026-04-22
TX9007,Cardinal,operations,OPS-FLEET,services,USD,640.00,approved,2026-13-40
TX1239,Umbra,operations,OPS-WARE,services,GBP,4086.94,approved,2026-05-23
TX1240,Cardinal,research,RES-LABS,supplies,AUD,4124.07,approved,2026-06-24
TX1241,Northwind,engineering,ENG-API,travel,USD,4161.2,approved,2026-01-25
TX1242,Globex,marketing,MKT-PERF,software,EUR,4198.33,approved,2026-02-26
TX1243,Acme,operations,OPS-WARE,hardware,GBP,4235.46,approved,2026-03-27
TX1244,Initech,research,RES-LABS,services,AUD,4272.59,pending,2026-04-01
TX1245,Umbra,engineering,ENG-WEB,supplies,USD,4309.72,rejected,2026-05-02
TX1246,Cardinal,marketing,MKT-PERF,travel,EUR,4346.85,approved,2026-06-03
TX1247,Northwind,operations,OPS-WARE,software,GBP,4383.98,approved,2026-01-04
TX1248,Globex,research,RES-LABS,hardware,AUD,4421.11,approved,2026-02-05
TX1249,Acme,engineering,ENG-DATA,services,USD,4458.24,approved,2026-03-06
TX1250,Initech,marketing,MKT-PERF,supplies,EUR,4495.37,approved,2026-04-07
TX1251,Umbra,operations,OPS-WARE,travel,GBP,4532.5,pending,2026-05-08
TX1252,Cardinal,research,RES-LABS,software,AUD,4569.63,rejected,2026-06-09
TX1253,Northwind,engineering,ENG-API,hardware,USD,4606.76,approved,2026-01-10
TX1254,Globex,marketing,MKT-PERF,services,EUR,4643.89,approved,2026-02-11
TX1255,Acme,operations,OPS-WARE,supplies,GBP,4681.02,approved,2026-03-12
TX1256,Initech,research,RES-LABS,travel,AUD,4718.15,approved,2026-04-13
TX1257,Umbra,engineering,ENG-WEB,software,USD,4755.28,approved,2026-05-14
TX1258,Cardinal,marketing,MKT-PERF,hardware,EUR,4792.41,pending,2026-06-15
TX1259,Northwind,operations,OPS-WARE,services,GBP,4829.54,rejected,2026-01-16
TX1260,Globex,research,RES-LABS,supplies,AUD,66.67,approved,2026-02-17
TX1261,Acme,engineering,ENG-DATA,travel,USD,103.8,approved,2026-03-18
TX1262,Initech,marketing,MKT-PERF,software,EUR,140.93,approved,2026-04-19
TX1263,Umbra,operations,OPS-WARE,hardware,GBP,178.06,approved,2026-05-20
TX1001,Globex,research,RES-LABS,hardware,EUR,880.00,approved,2026-02-22
TX1264,Cardinal,research,RES-LABS,services,AUD,215.19,approved,2026-06-21
TX1265,Northwind,engineering,ENG-API,supplies,USD,252.32,pending,2026-01-22
TX1266,Globex,marketing,MKT-PERF,travel,EUR,289.45,rejected,2026-02-23
TX1267,Acme,operations,OPS-WARE,software,GBP,326.58,approved,2026-03-24
TX1268,Initech,research,RES-LABS,hardware,AUD,363.71,approved,2026-04-25
TX1269,Umbra,engineering,ENG-WEB,services,USD,400.84,approved,2026-05-26
TX1270,Cardinal,marketing,MKT-PERF,supplies,EUR,437.97,approved,2026-06-27
TX1271,Northwind,operations,OPS-WARE,travel,GBP,475.1,approved,2026-01-01
TX1272,Globex,research,RES-LABS,software,AUD,512.23,pending,2026-02-02
TX1273,Acme,engineering,ENG-DATA,hardware,USD,549.36,rejected,2026-03-03
TX1274,Initech,marketing,MKT-PERF,services,EUR,586.49,approved,2026-04-04
TX1275,Umbra,operations,OPS-WARE,supplies,GBP,623.62,approved,2026-05-05
TX1276,Cardinal,research,RES-LABS,travel,AUD,660.75,approved,2026-06-06
TX1277,Northwind,engineering,ENG-API,software,USD,697.88,approved,2026-01-07
TX1278,Globex,marketing,MKT-PERF,hardware,EUR,735.01,approved,2026-02-08
TX1279,Acme,operations,OPS-WARE,services,GBP,772.14,pending,2026-03-09
TX1280,Initech,research,RES-LABS,supplies,AUD,809.27,rejected,2026-04-10
TX1281,Umbra,engineering,ENG-WEB,travel,USD,846.4,approved,2026-05-11
TX1282,Cardinal,marketing,MKT-PERF,software,EUR,883.53,approved,2026-06-12
TX9009,Acme,marketing,MKT-BRAND,services,USD,,approved,2026-04-15
TX1283,Northwind,operations,OPS-WARE,hardware,GBP,920.66,approved,2026-01-13
TX1284,Globex,research,RES-LABS,services,AUD,957.79,approved,2026-02-14
TX1285,Acme,engineering,ENG-DATA,supplies,USD,994.92,approved,2026-03-15
TX1286,Initech,marketing,MKT-PERF,travel,EUR,1032.05,pending,2026-04-16
TX1287,Umbra,operations,OPS-WARE,software,GBP,1069.18,rejected,2026-05-17
TX1288,Cardinal,research,RES-LABS,hardware,AUD,1106.31,approved,2026-06-18
TX1289,Northwind,engineering,ENG-API,services,USD,1143.44,approved,2026-01-19
TX1290,Globex,marketing,MKT-PERF,supplies,EUR,1180.57,approved,2026-02-20
TX9010,Northwind,research,RES-CORE,supplies,GBP,two hundred,approved,2026-01-08
TX1291,Acme,operations,OPS-WARE,travel,GBP,1217.7,approved,2026-03-21
TX1292,Initech,research,RES-LABS,software,AUD,1254.83,approved,2026-04-22
TX1293,Umbra,engineering,ENG-WEB,hardware,USD,1291.96,pending,2026-05-23
TX1294,Cardinal,marketing,MKT-PERF,services,EUR,1329.09,rejected,2026-06-24
TX1295,Northwind,operations,OPS-WARE,supplies,GBP,1366.22,approved,2026-01-25
TX1296,Globex,research,RES-LABS,travel,AUD,1403.35,approved,2026-02-26
TX1297,Acme,engineering,ENG-DATA,software,USD,1440.48,approved,2026-03-27
TX1298,Initech,marketing,MKT-PERF,hardware,EUR,1477.61,approved,2026-04-01
TX1299,Umbra,operations,OPS-WARE,services,GBP,1514.74,approved,2026-05-02
TX1300,Cardinal,research,RES-LABS,supplies,AUD,1551.87,pending,2026-06-03
